,assembly_id,point_group,symmetry_type,main_chains,main_mean_distance,main_std_distance,total_axis_count,equivalent_axis_groupings
0,1EUM-1,O,C2,"('B', 'C-3')",22.98,0.0,12,"[('B-4', 'C'), ('B-2', 'C-4'), ('B-3', 'C-2'), ('F', 'F-3'), ('F-2', 'F-4'), ('E', 'E-3'), ('E-2', 'E-4'), ('A', 'D'), ('A-2', 'D-2'), ('A-3', 'D-3'), ('A-4', 'D-4')]"
1,1EUM-1,O,C3,"('A-3', 'D-2', 'F-2')",52.54,0.04,8,"[('A-4', 'D', 'F'), ('A', 'D-3', 'F-3'), ('A-2', 'D-4', 'F-4'), ('B-4', 'C-4', 'E-2'), ('B-2', 'C-2', 'E-3'), ('B-3', 'C-3', 'E'), ('B', 'C', 'E-4')]"
2,1EUM-1,O,C4,"('D', 'D-3', 'D-2', 'D-4')",47.5,0.0,6,"[('C', 'C-4', 'C-2', 'C-3'), ('A', 'A-3', 'A-2', 'A-4'), ('B', 'B-4', 'B-2', 'B-3'), ('F', 'F-4', 'F-2', 'F-3'), ('E', 'E-3', 'E-2', 'E-4')]"
3,1TE0-3,O,C2,"('A', 'B-18')",20.33,0.0,12,"[('A-4', 'B-20'), ('A-5', 'B-19'), ('A-6', 'B-17'), ('A-2', 'B-22'), ('A-7', 'B-24'), ('A-8', 'B-23'), ('A-9', 'B-21'), ('A-3', 'B-14'), ('A-10', 'B-16'), ('A-11', 'B-15'), ('A-12', 'B-13')]"
4,1TE0-3,O,C3,"('B-16', 'B-18', 'B-23')",41.77,0.0,8,"[('B-14', 'B-19', 'B-24'), ('B-13', 'B-17', 'B-21'), ('B-15', 'B-20', 'B-22'), ('A-10', 'A-9', 'A-5'), ('A', 'A-3', 'A-2'), ('A-12', 'A-8', 'A-4'), ('A-11', 'A-7', 'A-6')]"
5,1TE0-3,O,C4,"('A-10', 'B-17', 'B-15', 'B-24')",89.63,0.84,4,"[('A-9', 'B-14', 'B-22', 'B-18'), ('A-3', 'B-20', 'B-13', 'B-23'), ('A-4', 'B-21', 'B-19', 'B-16')]"
6,1WPB-1,O,C2,"('F', 'G-2')",16.64,0.0,12,"[('F-3', 'G'), ('F-2', 'G-3'), ('E', 'H-3'), ('E-2', 'H'), ('E-3', 'H-2'), ('A', 'D-3'), ('A-2', 'D'), ('A-3', 'D-2'), ('B', 'C-2'), ('B-3', 'C'), ('B-2', 'C-3')]"
7,1WPB-1,O,C3,"('G', 'G-3', 'G-2')",22.98,0.0,8,"[('H', 'H-2', 'H-3'), ('B', 'B-2', 'B-3'), ('A', 'A-3', 'A-2'), ('F', 'F-3', 'F-2'), ('E', 'E-2', 'E-3'), ('D', 'D-3', 'D-2'), ('C', 'C-2', 'C-3')]"
8,1WPB-1,O,C4,"('B', 'G', 'C', 'F')",57.26,0.01,6,"[('B-3', 'G-3', 'C-3', 'F-3'), ('B-2', 'G-2', 'C-2', 'F-2'), ('A-2', 'D', 'E-2', 'H'), ('A-3', 'D-2', 'E-3', 'H-2'), ('A', 'D-3', 'E', 'H-3')]"
9,1WPB-2,O,C2,"('J', 'O-2')",11.4,0.0,12,"[('J-3', 'O'), ('J-2', 'O-3'), ('M', 'P-3'), ('M-2', 'P'), ('M-3', 'P-2'), ('I', 'L-3'), ('I-2', 'L'), ('I-3', 'L-2'), ('K', 'N-3'), ('K-2', 'N'), ('K-3', 'N-2')]"
